,AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,lastentry,Algo,Network,Exchange,Exchange,Exchange,Exchange
beatcoin,1524686.0,0.00001596,beatcoin,-5.84,-18.44,120.62,,347599.0,XBTS,2524686.0,0.227981,4489.91,27,"May 12, 2017, 10:52:24 AM",X11,POS,Cryptopia,,,
beavercoin,3115258.0,0.00000246,beavercoin,-0.2,6.22,-23.38,,109275.0,BVC,3115258.0,0.0350774,26.0352,18,"December 17, 2017, 02:31:43 PM",Scrypt,POW,Cryptopia,,,
belacoin,39461275.0,0.00003640,belacoin,0.99,11.88,15.25,,20528623.0,BELA,39461275.0,0.520222,482149.0,58,"January 05, 2018, 04:32:08 PM",,,,,,
benjirolls,20276099.0,0.00000114,benjirolls,-1.19,-10.12,62.46,,329162.0,BENJI,20276099.0,0.016234,3427.18,20,"January 10, 2018, 11:08:08 PM",Scrypt,POW,Cryptopia,,,
berncash,71234301.0,0.00000105,berncash,2.13,16.3,77.18,,1072703.0,BERN,71234301.0,0.0150588,3621.01,0,0,Other,Hybrid,Cryptopia,,,
bestchain,,0.00000350,bestchain,31.72,246.07,163.69,,,BEST,20147876.0,0.0501206,450210.0,18,"<span class=""edited"" title=""Last edit: Today at 02:22:09 AM by dfkcrypto"">January 12, 2018, 11:49:56 PM</span>",Scrypt,Hybrid,Cryptopia,,,
betacoin,,0.00000064,betacoin,-0.14,-28.99,84.53,,,BET,,0.00915163,41.8504,18,"December 21, 2017, 03:22:19 PM",,,,,,
biblepay,346598607.0,0.00000036,biblepay,1.29,-37.12,-57.01,,1783721.0,BBP,346598607.0,0.00514636,3130.57,166,"November 11, 2017, 01:55:38 PM",,,,,,
bibox-token,,0.00020627,bibox-token,0.63,22.54,249.33,,,BIX,271520349.0,2.94801,33454500.0,0,0,,,,,,
bigone-token,,0.00064474,bigone-token,4.18,2.99,65.97,200000000.0,,BIG,200000000.0,9.21458,3379370.0,0,0,,,,,,
bigup,2126852211.0,0.00000012,bigup,-3.58,46.32,114.02,,3727096.0,BIGUP,2126852211.0,0.0017524,14264.9,129,"December 26, 2017, 01:32:00 PM",,,,,,
billarycoin,8992496.0,0.00000086,billarycoin,-0.2,10.89,-4.64,,110273.0,BLRY,8992496.0,0.0122628,7.31776,66,"December 20, 2017, 11:26:06 PM",,,,,,
billionaire-token,3268301.0,0.00006735,billionaire-token,7.39,15.9,118.98,3315372.0,3158257.0,XBL,3315297.0,0.96633,121813.0,79,<b>Today</b> at 01:22:31 AM,None,Asset,Cryptopia,,,
binance-coin,99014000.0,0.0015845,binance-coin,0.32,7.63,44.83,,2244063197.0,BNB,199013968.0,22.6641,383446000.0,0,0,,,,,Binance,
biobar,885756.0,0.00000344,biobar,0.07,22.51,67.59,,43563.0,BIOB,985756.0,0.0491814,1568.9,13,"January 12, 2018, 03:09:34 AM",,,,,,
bios-crypto,20821709.0,0.00000050,bios-crypto,-0.2,95.8,112.59,,148449.0,BIOS,20821709.0,0.00712954,169.71,35,"August 09, 2017, 01:31:25 AM",,,,,,
bipcoin,1627261.0,0.00001728,bipcoin,0.53,3.89,64.68,,401724.0,BIP,1627261.0,0.246871,2269.52,8,"January 12, 2018, 01:20:14 AM",CryptoNight,POW,Cryptopia,,,
birds,,0.00000005,birds,-14.43,8.02,21.91,,,BIRDS,,0.000714971,1372.87,0,0,,,,,,
bismuth,6985054.0,0.00059979,bismuth,1.88,14.76,120.02,109999978.0,59805407.0,BIS,7618498.0,8.56191,732216.0,81,"January 12, 2018, 05:53:54 PM",Other,POW,Cryptopia,,,
